,date,RGDP1,RGDP2,PGDP1,PGDP2,RNRESIN1,RNRESIN2,RRESINV1,RRESINV2
80,1988:Q4,4007.5714,4032.0,122.3,123.74,496.0615,502.8923,190.1462,190.1615
81,1989:Q1,4031.625,4070.375,123.8235,125.0941,490.48,498.9267,197.3333,198.0867
82,1989:Q2,4086.1176,4106.8235,125.1882,126.6294,503.35,511.5437,197.3187,195.9875
83,1989:Q3,4125.76,4143.5133,126.0467,127.2467,510.2786,515.45,192.0143,192.0286
84,1989:Q4,4158.4,4171.5,126.6667,127.88,518.0,518.9867,186.9286,187.2533
85,1990:Q1,4168.0714,4184.7857,128.0077,129.3462,514.0,518.7538,186.0,187.1846
86,1990:Q2,4188.9556,4212.9778,129.6889,130.9,518.8,519.8333,187.8111,187.4889
87,1990:Q3,4164.2154,4175.8462,130.9231,132.3077,507.1154,514.1154,181.8154,178.4154
88,1990:Q4,4174.5833,4161.1333,132.0967,133.6667,517.3655,509.6448,174.8103,168.8034
89,1991:Q1,4147.3886,4127.2829,133.0971,134.5771,513.0647,502.0618,165.8676,159.9706
90,1991:Q2,4123.9095,4123.0786,134.9095,136.0333,499.9452,490.7357,151.2881,149.7857
91,1991:Q3,4127.8839,4154.0226,136.0848,137.1636,493.929,492.1161,152.9733,156.2833
92,1991:Q4,4143.0974,4159.0359,136.9,137.7923,506.5,502.3081,159.7,161.2162
93,1992:Q1,4866.3,4875.0445,117.9103,118.7683,506.9,504.8786,181.0,184.3812
94,1992:Q2,4892.2811,4928.4683,118.7973,119.6426,503.7892,506.0234,188.5,193.6511
95,1992:Q3,4890.5,4917.1368,120.5,121.2654,511.7,515.0487,189.5,191.7421
96,1992:Q4,4924.1775,4948.39,121.2026,121.9622,515.185,518.8691,191.3949,195.681
97,1993:Q1,4979.8,5017.8938,121.7,122.5373,530.7265,538.7459,203.8735,207.671
98,1993:Q2,5012.9583,5044.6202,122.8714,123.7307,538.3056,547.6524,202.4,207.8409
99,1993:Q3,5019.5971,5057.5141,123.7,124.5497,564.8588,571.6426,198.0147,203.0216
100,1993:Q4,5138.0,5180.9571,124.5,125.3203,593.3,603.456,211.2,216.0182
