History for Series RTD.M.S0.N.C_EONIA.E (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
1997Jun,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400,3.9400
1997May,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400
1997Apr,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500,3.8500
1997Mar,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900,4.0900
1997Feb,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500
1997Jan,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500
1996Dec,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400,4.0400
1996Nov,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700,4.5700
1996Oct,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500,4.1500
1996Sep,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800,4.0800
1996Aug,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900,4.3900
1996Jul,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200,4.5200
1996Jun,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300
1996May,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300,4.7300
1996Apr,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100,4.7100
1996Mar,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900,4.8900
