History for Series RTD.Q.S0.S.G_GDPM_TO_D.X (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
2004Q1,97.43,97.43,97.43,97.45,97.44,97.44,97.44,97.43,97.45,97.45,97.45,97.45,97.45,97.45,97.44,97.43,97.43,97.43,97.43,97.43,97.53,97.54,97.54,97.48,108.73,108.73,108.73,108.72,108.73,108.71,108.72,108.72,108.71,108.72,108.72,108.72,108.70,117.02,117.02,117.03,117.03,117.03,117.01,117.01,117.00,117.01,117.01,117.01,117.00,116.99,116.99,117.00,116.86,116.85,116.85,116.83,116.92,116.91,116.91,116.89,116.92,116.83,116.89,116.88,116.91,116.86,116.86,116.71,116.69,116.56,116.56,116.56,116.56,116.54,116.52,116.53,116.35,116.35,116.35,116.27,116.21,115.97,115.98,116.02,117.30,117.32,117.32,117.11,116.99,116.99,117.48,117.43,117.45,117.41,117.40,117.56,117.46,117.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003Q4,96.97,96.97,96.97,96.99,96.99,96.99,96.99,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.97,96.96,96.96,96.95,96.95,96.95,96.97,96.95,96.95,96.88,108.15,108.15,108.14,108.13,108.13,108.12,108.13,108.13,108.13,108.11,108.11,108.13,108.13,116.40,116.40,116.41,116.41,116.40,116.41,116.41,116.39,116.40,116.41,116.41,116.42,116.42,116.42,116.43,116.30,116.28,116.29,116.27,116.34,116.33,116.33,116.38,116.41,116.37,116.41,116.42,116.42,116.41,116.41,116.34,116.35,116.22,116.22,116.22,116.22,116.23,116.18,116.17,116.04,116.04,116.08,115.87,115.78,115.63,115.65,115.69,116.81,116.77,116.77,116.52,116.46,116.46,116.91,116.84,116.88,116.88,116.88,116.96,116.91,116.60,116.97,117.04,117.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003Q3,96.76,96.76,96.76,96.78,96.78,96.78,96.78,96.78,96.79,96.78,96.78,96.79,96.79,96.79,96.78,96.78,96.78,96.77,96.77,96.77,96.76,96.76,96.76,96.68,107.92,107.93,107.93,107.93,107.92,107.92,107.92,107.92,107.92,107.92,107.92,107.92,107.92,116.18,116.18,116.19,116.19,116.18,116.18,116.18,116.17,116.18,116.18,116.18,116.19,116.18,116.18,116.19,116.07,116.06,116.06,116.04,116.04,116.03,116.03,116.02,116.05,115.99,116.00,116.02,116.03,116.02,116.02,115.98,116.00,115.85,115.85,115.85,115.85,115.86,115.81,115.81,115.70,115.70,115.68,115.51,115.45,115.28,115.30,115.35,116.53,116.54,116.54,116.41,116.28,116.28,116.45,116.42,116.43,116.43,116.44,116.51,116.51,116.12,116.50,116.56,116.56,116.50,107.58,116.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003Q2,95.97,95.97,95.97,95.98,95.99,95.99,96.00,96.00,96.01,96.01,96.01,96.00,96.00,96.01,95.99,96.00,96.00,96.00,96.00,96.00,96.01,96.01,96.01,95.92,107.11,107.10,107.12,107.11,107.11,107.12,107.11,107.11,107.12,107.13,107.13,107.15,107.13,115.33,115.33,115.35,115.35,115.34,115.33,115.33,115.31,115.29,115.29,115.29,115.30,115.29,115.29,115.30,115.18,115.19,115.20,115.17,115.21,115.22,115.22,115.16,115.19,115.11,115.14,115.13,115.15,115.12,115.12,115.03,115.05,114.91,114.91,114.89,114.90,114.90,114.83,114.83,114.73,114.73,114.72,114.55,114.60,114.47,114.48,114.53,115.67,115.70,115.70,115.49,115.44,115.44,115.72,115.72,115.72,115.77,115.78,115.82,115.82,115.46,115.80,115.73,115.73,115.71,106.86,115.68,115.67,115.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003Q1,95.56,95.56,95.56,95.58,95.57,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.57,95.57,95.57,95.55,95.52,95.52,95.44,106.53,106.53,106.53,106.52,106.52,106.53,106.52,106.52,106.52,106.53,106.53,106.53,106.53,114.69,114.69,114.69,114.69,114.70,114.69,114.69,114.67,114.67,114.67,114.67,114.68,114.65,114.65,114.66,114.55,114.57,114.57,114.56,114.58,114.59,114.59,114.49,114.52,114.44,114.45,114.44,114.47,114.42,114.42,114.30,114.31,114.17,114.17,114.16,114.15,114.14,114.08,114.08,113.99,113.99,113.98,113.86,113.98,113.80,113.81,113.86,114.98,114.97,114.97,114.82,114.77,114.77,115.20,115.19,115.21,115.21,115.19,115.27,115.18,114.94,115.16,115.12,115.12,115.10,106.29,115.09,115.08,115.12,115.21,115.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002Q4,95.11,95.11,95.11,95.13,95.14,95.13,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.13,95.13,95.13,95.12,95.12,95.12,95.13,95.13,95.13,95.03,106.08,106.08,106.07,106.06,106.06,106.06,106.06,106.06,106.07,106.06,106.06,106.07,106.08,114.19,114.19,114.20,114.20,114.19,114.19,114.19,114.18,114.19,114.20,114.20,114.21,114.20,114.20,114.21,114.10,114.09,114.09,114.07,114.13,114.13,114.13,114.13,114.16,114.12,114.15,114.16,114.18,114.14,114.14,114.08,114.09,113.95,113.95,113.94,113.95,113.95,113.91,113.90,113.87,113.87,113.90,113.75,113.63,113.52,113.53,113.58,114.51,114.49,114.49,114.27,114.25,114.25,114.57,114.59,114.64,114.63,114.62,114.67,114.66,114.56,114.57,114.52,114.52,114.46,105.70,114.46,114.46,114.44,114.52,114.53,114.60,114.60,114.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002Q3,94.53,94.53,94.53,94.55,94.55,94.54,94.55,94.55,94.54,94.54,94.54,94.55,94.55,94.55,94.55,94.56,94.56,94.56,94.56,94.56,94.55,94.53,94.53,94.45,105.40,105.40,105.44,105.46,105.44,105.44,105.44,105.44,105.45,105.44,105.44,105.44,105.45,113.52,113.52,113.52,113.52,113.52,113.54,113.54,113.54,113.55,113.55,113.55,113.56,113.55,113.55,113.55,113.45,113.45,113.45,113.43,113.45,113.45,113.45,113.39,113.42,113.36,113.40,113.41,113.41,113.38,113.38,113.40,113.41,113.29,113.29,113.27,113.28,113.28,113.24,113.24,113.15,113.15,113.15,113.01,113.05,112.90,112.91,112.96,113.92,113.91,113.91,113.77,113.75,113.75,114.03,114.01,114.06,114.06,114.04,114.11,114.14,114.13,114.01,114.01,114.01,113.93,105.21,113.92,113.95,113.91,113.98,114.00,114.03,114.03,113.90,113.76,113.76,113.64,113.64,,,,,,,,,,,,,,,,,,,,,,,,
2002Q2,93.74,93.74,93.74,93.76,93.76,93.76,93.76,93.77,93.77,93.77,93.77,93.77,93.77,93.77,93.76,93.76,93.76,93.77,93.77,93.77,93.75,93.74,93.74,93.67,104.59,104.59,104.63,104.64,104.63,104.63,104.63,104.63,104.63,104.64,104.64,104.65,104.65,112.66,112.66,112.65,112.65,112.66,112.67,112.67,112.67,112.65,112.65,112.65,112.66,112.65,112.65,112.66,112.56,112.56,112.56,112.56,112.59,112.62,112.62,112.57,112.60,112.52,112.55,112.55,112.56,112.54,112.53,112.54,112.55,112.43,112.43,112.44,112.44,112.43,112.38,112.39,112.28,112.28,112.26,112.16,112.25,112.12,112.13,112.18,113.11,113.11,113.11,113.08,113.10,113.10,113.36,113.29,113.34,113.35,113.35,113.40,113.43,113.49,113.34,113.32,113.32,113.24,104.58,113.25,113.21,113.20,113.29,113.30,113.31,113.31,113.22,113.21,113.21,112.94,112.94,113.02,112.94,,,,,,,,,,,,,,,,,,,,,,
2002Q1,93.47,93.47,93.47,93.49,93.49,93.51,93.49,93.49,93.49,93.49,93.49,93.49,93.49,93.49,93.50,93.50,93.50,93.49,93.49,93.50,93.51,93.49,93.49,93.42,104.25,104.25,104.29,104.28,104.28,104.28,104.28,104.28,104.28,104.28,104.28,104.28,104.26,112.24,112.24,112.25,112.25,112.25,112.25,112.25,112.25,112.24,112.24,112.24,112.25,112.23,112.23,112.24,112.15,112.16,112.18,112.17,112.20,112.18,112.18,112.18,112.21,112.14,112.17,112.17,112.19,112.13,112.13,112.10,112.11,112.00,112.00,112.01,112.00,112.00,111.95,111.96,111.87,111.87,111.83,111.75,111.81,111.67,111.67,111.72,112.60,112.61,112.61,112.57,112.61,112.61,112.86,112.81,112.86,112.87,112.87,112.98,112.97,113.05,112.91,112.97,112.97,112.89,104.25,112.90,112.88,112.87,112.90,112.92,112.81,112.81,112.67,112.66,112.66,112.55,112.54,112.59,112.60,112.52,112.52,112.47,,,,,,,,,,,,,,,,,,,
2001Q4,92.84,92.84,92.84,92.86,92.85,92.88,92.84,92.85,92.84,92.84,92.84,92.84,92.84,92.85,92.84,92.87,92.87,92.86,92.86,92.86,92.90,92.90,92.90,92.77,103.53,103.53,103.55,103.56,103.55,103.55,103.55,103.55,103.54,103.53,103.53,103.54,103.52,111.44,111.44,111.44,111.44,111.44,111.46,111.46,111.46,111.47,111.48,111.48,111.48,111.47,111.47,111.48,111.38,111.39,111.40,111.38,111.42,111.43,111.43,111.43,111.46,111.41,111.43,111.43,111.43,111.40,111.40,111.34,111.35,111.24,111.24,111.24,111.25,111.25,111.21,111.21,111.17,111.17,111.21,111.06,111.01,110.95,110.96,111.00,111.71,111.72,111.72,111.58,111.69,111.68,112.04,112.00,112.04,112.04,112.04,112.11,112.10,112.10,112.02,112.07,112.07,112.04,103.47,112.05,112.05,112.08,112.17,112.18,112.23,112.23,112.07,111.97,111.97,111.94,111.94,111.92,111.92,111.87,111.87,111.53,111.69,111.69,111.57,111.57,,,,,,,,,,,,,,,
2001Q3,92.13,92.13,92.13,92.15,92.14,92.18,92.15,92.15,92.14,92.14,92.14,92.14,92.15,92.15,92.15,92.16,92.16,92.17,92.17,92.17,92.16,92.15,92.15,92.07,102.75,102.75,102.74,102.75,102.74,102.74,102.74,102.74,102.74,102.74,102.74,102.73,102.74,110.61,110.61,110.60,110.60,110.60,110.63,110.63,110.63,110.63,110.64,110.64,110.63,110.62,110.62,110.63,110.53,110.54,110.54,110.52,110.53,110.54,110.54,110.54,110.56,110.51,110.52,110.52,110.53,110.46,110.46,110.49,110.49,110.38,110.38,110.38,110.39,110.39,110.34,110.35,110.28,110.28,110.27,110.15,110.16,110.06,110.07,110.12,110.90,110.91,110.91,110.81,110.89,110.89,111.05,111.02,111.04,111.04,111.04,111.11,111.10,111.05,111.05,111.04,111.04,111.04,102.55,111.05,111.07,111.05,111.12,111.13,111.17,111.17,111.04,111.05,111.05,110.99,110.99,111.05,111.09,110.97,110.97,110.78,110.80,110.80,110.87,110.85,110.72,110.68,110.68,,,,,,,,,,,,
2001Q2,91.55,91.55,91.55,91.57,91.58,91.59,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.59,91.60,91.58,91.58,91.59,91.59,91.59,91.58,91.57,91.57,91.50,102.19,102.19,102.16,102.16,102.15,102.15,102.15,102.15,102.15,102.16,102.16,102.16,102.18,110.00,110.00,110.00,110.00,110.00,110.01,110.01,110.01,110.00,109.99,109.99,110.02,110.01,110.01,110.02,109.92,109.93,109.93,109.90,109.94,109.95,109.95,109.91,109.94,109.87,109.87,109.87,109.87,109.82,109.82,109.83,109.83,109.74,109.74,109.74,109.74,109.73,109.69,109.69,109.62,109.62,109.62,109.51,109.55,109.48,109.50,109.55,110.37,110.37,110.37,110.35,110.37,110.37,110.64,110.61,110.63,110.63,110.64,110.70,110.69,110.72,110.76,110.71,110.71,110.72,102.25,110.74,110.71,110.72,110.79,110.80,110.77,110.77,110.67,110.66,110.66,110.64,110.64,110.65,110.61,110.51,110.51,110.49,110.41,110.41,110.64,110.62,110.59,110.60,110.60,110.60,110.43,,,,,,,,,,
2001Q1,90.96,90.96,90.96,90.98,91.00,90.95,91.00,91.00,91.01,91.01,91.01,91.01,91.00,91.00,91.01,90.99,90.99,90.98,90.98,90.99,90.97,90.97,90.97,90.89,101.47,101.47,101.46,101.47,101.46,101.46,101.46,101.46,101.47,101.47,101.47,101.47,101.46,109.22,109.22,109.23,109.23,109.22,109.22,109.22,109.22,109.22,109.21,109.21,109.23,109.22,109.22,109.23,109.14,109.13,109.13,109.12,109.16,109.15,109.15,109.08,109.11,109.05,109.05,109.05,109.07,109.05,109.05,109.04,109.04,108.93,108.93,108.93,108.92,108.93,108.88,108.88,108.83,108.83,108.81,108.73,108.81,108.75,108.77,108.82,109.72,109.72,109.72,109.71,109.63,109.63,109.91,109.88,109.90,109.90,109.90,109.95,109.92,109.96,109.99,110.00,110.00,109.99,101.57,109.96,109.96,109.93,109.94,109.95,109.89,109.89,109.76,109.88,109.87,109.88,109.88,109.85,109.85,109.87,109.87,109.94,109.83,109.83,109.95,109.93,109.84,109.84,109.84,109.82,109.79,109.69,109.69,109.90,,,,,,,
2000Q4,90.33,90.33,90.33,90.35,90.35,90.41,90.35,90.36,90.35,90.35,90.35,90.35,90.35,90.35,90.35,90.33,90.33,90.33,90.33,90.32,90.33,90.33,90.33,90.21,100.65,100.65,100.62,100.63,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.64,108.34,108.34,108.34,108.34,108.34,108.36,108.36,108.36,108.36,108.35,108.35,108.37,108.36,108.36,108.37,108.28,108.28,108.30,108.29,108.34,108.33,108.33,108.21,108.24,108.21,108.21,108.20,108.20,108.16,108.16,108.15,108.15,108.07,108.07,108.07,108.07,108.08,108.02,108.03,108.05,108.05,108.10,107.98,108.01,107.98,107.99,108.03,108.76,108.74,108.74,108.70,108.76,108.76,108.97,108.94,108.96,108.95,108.96,109.01,108.99,108.93,108.94,108.98,108.98,108.97,100.63,108.96,108.96,108.98,108.96,108.95,109.03,109.03,108.94,108.93,108.93,108.93,108.93,108.88,108.88,108.80,108.80,108.77,108.74,108.74,108.79,108.79,108.84,108.86,108.86,108.86,108.84,108.78,108.78,108.97,109.01,108.99,108.99,108.67,,,
2000Q3,89.93,89.93,89.93,89.95,89.94,89.95,89.96,89.95,89.96,89.96,89.96,89.96,89.96,89.96,89.95,89.97,89.97,89.96,89.96,89.96,89.92,89.93,89.93,89.81,100.26,100.26,100.23,100.24,100.23,100.24,100.23,100.23,100.23,100.23,100.23,100.22,100.21,107.88,107.88,107.88,107.88,107.88,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.90,107.90,107.91,107.82,107.82,107.83,107.82,107.84,107.84,107.84,107.86,107.89,107.85,107.85,107.85,107.84,107.81,107.81,107.86,107.86,107.79,107.79,107.79,107.78,107.77,107.72,107.72,107.72,107.72,107.72,107.59,107.59,107.59,107.60,107.64,108.46,108.45,108.45,108.47,108.43,108.43,108.57,108.54,108.56,108.56,108.56,108.60,108.60,108.57,108.59,108.59,108.59,108.56,100.25,108.56,108.57,108.58,108.59,108.58,108.63,108.63,108.55,108.53,108.53,108.57,108.57,108.56,108.57,108.53,108.53,108.44,108.42,108.42,108.45,108.45,108.48,108.48,108.48,108.46,108.46,108.41,108.41,108.64,108.64,108.65,108.65,108.49,108.25,108.28,
2000Q2,89.35,89.35,89.35,89.37,89.37,89.36,89.39,89.39,89.38,89.38,89.38,89.38,89.38,89.38,89.36,89.36,89.36,89.37,89.37,89.37,89.41,89.41,89.41,89.31,99.73,99.73,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.76,99.76,99.76,99.75,107.38,107.38,107.39,107.39,107.38,107.39,107.39,107.39,107.39,107.38,107.38,107.40,107.39,107.39,107.39,107.31,107.32,107.32,107.31,107.34,107.36,107.36,107.36,107.38,107.33,107.34,107.34,107.34,107.31,107.31,107.33,107.33,107.25,107.25,107.26,107.26,107.27,107.23,107.21,107.21,107.21,107.19,107.06,107.01,107.02,107.04,107.08,107.91,107.91,107.91,107.88,107.76,107.76,108.02,107.99,108.01,108.01,108.02,108.06,108.05,108.08,108.07,108.06,108.06,108.04,99.77,108.05,108.02,108.02,108.03,108.02,107.97,107.97,107.93,107.98,107.98,107.97,107.97,108.00,108.00,107.99,107.99,107.94,107.95,107.95,107.97,107.98,107.94,107.95,107.95,107.99,107.94,107.91,107.91,108.18,108.16,108.19,108.19,108.06,107.83,107.85,107.79
2000Q1,89.05,89.05,89.05,89.07,89.08,89.06,89.08,89.08,89.09,89.09,89.09,89.09,89.09,89.10,89.08,89.08,89.08,89.09,89.09,89.09,89.09,89.06,89.06,89.00,99.35,99.35,99.38,99.37,99.38,99.37,99.38,99.38,99.38,99.39,99.39,99.40,99.39,107.00,106.99,106.99,106.99,106.99,107.00,107.00,107.00,107.00,107.01,107.01,107.01,107.00,107.00,107.01,106.94,106.93,106.93,106.93,106.96,106.95,106.95,106.96,106.99,106.95,106.95,106.96,106.97,106.94,106.94,106.86,106.87,106.77,106.77,106.76,106.77,106.76,106.73,106.74,106.76,106.76,106.73,106.59,106.53,106.54,106.56,106.60,107.45,107.47,107.47,107.42,107.27,107.27,107.55,107.52,107.54,107.54,107.54,107.58,107.59,107.64,107.64,107.60,107.60,107.57,99.33,107.57,107.56,107.60,107.59,107.59,107.51,107.51,107.51,107.50,107.50,107.51,107.51,107.54,107.55,107.59,107.59,107.59,107.63,107.63,107.64,107.65,107.61,107.62,107.62,107.63,107.63,107.59,107.59,107.85,107.83,107.86,107.86,107.79,107.60,107.65,107.66
1999Q4,88.75,88.75,88.75,88.78,88.80,88.79,88.62,88.80,88.81,88.81,88.81,88.81,88.81,88.81,88.79,88.77,88.77,88.78,88.78,88.78,88.76,88.70,88.70,88.67,98.99,98.98,98.98,98.98,98.98,98.98,98.98,98.98,98.98,98.97,98.97,98.96,98.96,106.54,106.54,106.54,106.54,106.54,106.55,106.55,106.55,106.56,106.55,106.55,106.57,106.56,106.56,106.57,106.50,106.50,106.50,106.50,106.53,106.54,106.54,106.43,106.46,106.42,106.42,106.41,106.40,106.38,106.38,106.34,106.36,106.29,106.29,106.30,106.29,106.30,106.25,106.25,106.30,106.30,106.33,106.15,106.21,106.21,106.20,106.24,106.96,106.92,106.92,106.91,106.76,106.76,107.17,107.14,107.15,107.15,107.16,107.22,107.20,107.17,107.14,107.15,107.15,107.15,98.95,107.15,107.14,107.14,107.13,107.13,107.12,107.12,107.10,107.13,107.13,107.14,107.14,107.15,107.15,107.16,107.16,107.18,107.15,107.15,107.16,107.16,107.13,107.14,107.14,107.12,107.15,107.16,107.16,107.37,107.36,107.36,107.36,107.31,107.23,107.25,107.27
1999Q3,88.51,88.51,88.51,88.53,88.55,88.56,88.37,88.54,88.53,88.53,88.53,88.54,88.53,88.54,88.52,88.53,88.53,88.53,88.54,88.54,88.55,88.46,88.46,88.46,98.72,98.72,98.74,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.76,106.31,106.31,106.32,106.32,106.31,106.35,106.35,106.35,106.35,106.35,106.35,106.36,106.36,106.36,106.36,106.31,106.31,106.30,106.31,106.31,106.32,106.32,106.23,106.26,106.22,106.20,106.21,106.21,106.18,106.18,106.19,106.19,106.11,106.11,106.11,106.11,106.12,106.10,106.10,106.11,106.11,106.10,105.91,105.95,105.94,105.93,105.97,106.65,106.64,106.64,106.62,106.47,106.47,106.90,106.87,106.89,106.87,106.87,106.93,106.92,106.92,106.93,106.92,106.92,106.93,98.74,106.93,106.92,106.92,106.94,106.93,106.98,106.98,106.97,106.95,106.95,106.96,106.96,106.96,106.97,106.99,106.99,106.92,106.90,106.90,106.89,106.90,106.85,106.84,106.84,106.82,106.83,106.85,106.85,107.12,107.12,107.11,107.11,107.07,107.05,107.05,107.05
1999Q2,88.26,88.26,88.26,88.28,88.29,88.30,88.10,88.29,88.28,88.28,88.28,88.28,88.28,88.28,88.26,88.27,88.27,88.27,88.27,88.27,88.28,88.18,88.18,88.18,98.47,98.47,98.52,98.53,98.53,98.53,98.53,98.53,98.52,98.53,98.53,98.54,98.54,106.08,106.08,106.08,106.08,106.09,106.10,106.10,106.10,106.10,106.10,106.10,106.10,106.09,106.09,106.09,106.04,106.04,106.05,106.06,106.07,106.07,106.07,106.06,106.09,106.03,106.03,106.04,106.04,106.04,106.04,106.02,106.03,105.96,105.96,105.95,105.96,105.96,105.94,105.94,105.93,105.93,105.93,105.74,105.75,105.74,105.73,105.78,106.43,106.43,106.43,106.34,106.21,106.21,106.68,106.65,106.67,106.67,106.67,106.73,106.73,106.73,106.74,106.74,106.74,106.74,98.57,106.74,106.71,106.71,106.72,106.72,106.70,106.70,106.70,106.71,106.71,106.72,106.72,106.72,106.71,106.72,106.72,106.72,106.74,106.74,106.73,106.73,106.70,106.70,106.70,106.69,106.65,106.68,106.68,106.85,106.86,106.87,106.87,106.87,106.82,106.82,106.82
1999Q1,88.00,88.00,88.00,88.02,88.00,88.01,87.80,87.97,87.97,87.97,87.97,87.97,87.97,87.97,87.95,87.96,87.96,87.95,87.95,87.96,87.95,87.86,87.86,87.86,98.07,98.07,98.15,98.15,98.14,98.15,98.14,98.14,98.15,98.16,98.16,98.17,98.16,105.67,105.67,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.67,105.67,105.68,105.63,105.62,105.62,105.63,105.64,105.64,105.64,105.69,105.71,105.67,105.68,105.67,105.67,105.66,105.66,105.69,105.68,105.61,105.61,105.62,105.61,105.60,105.58,105.59,105.60,105.60,105.60,105.43,105.38,105.39,105.37,105.41,106.03,106.03,106.03,105.93,105.83,105.83,106.18,106.16,106.18,106.18,106.18,106.24,106.25,106.28,106.29,106.29,106.29,106.29,98.16,106.29,106.30,106.31,106.29,106.29,106.28,106.28,106.31,106.29,106.29,106.31,106.31,106.30,106.31,106.33,106.33,106.37,106.39,106.39,106.36,106.36,106.38,106.38,106.38,106.42,106.37,106.36,106.36,106.57,106.57,106.57,106.57,106.60,106.53,106.52,106.51
1998Q4,87.99,87.99,87.99,88.01,88.07,88.09,87.88,88.07,88.05,88.05,88.05,88.05,88.05,88.05,88.02,88.00,88.00,88.00,88.00,88.00,88.02,87.93,87.93,87.92,98.12,98.12,98.19,98.18,98.18,98.18,98.18,98.18,98.18,98.17,98.17,98.18,98.19,105.71,105.71,105.71,105.71,105.71,105.74,105.74,105.74,105.74,105.75,105.75,105.77,105.77,105.77,105.77,105.74,105.74,105.73,105.73,105.74,105.74,105.74,105.68,105.70,105.67,105.68,105.68,105.66,105.66,105.66,105.52,105.54,105.50,105.50,105.52,105.53,105.53,105.51,105.53,105.54,105.54,105.60,105.43,105.40,105.40,105.35,105.40,105.95,105.95,105.95,105.91,105.85,105.85,106.07,106.04,106.06,106.06,106.07,106.12,106.12,106.12,106.12,106.12,106.12,106.12,98.00,106.11,106.09,106.09,106.09,106.09,106.14,106.14,106.14,106.12,106.12,106.11,106.11,106.11,106.12,106.12,106.12,106.15,106.14,106.14,106.14,106.14,106.15,106.16,106.16,106.16,106.16,106.17,106.17,106.24,106.23,106.22,106.22,106.22,106.16,106.16,106.16
1998Q3,87.63,87.63,87.63,87.65,87.69,87.71,87.55,87.70,87.70,87.70,87.70,87.70,87.70,87.70,87.68,87.68,87.68,87.68,87.68,87.68,87.67,87.59,87.59,87.58,97.71,97.71,97.76,97.73,97.77,97.77,97.77,97.77,97.78,97.78,97.78,97.78,97.78,105.27,105.27,105.27,105.27,105.27,105.29,105.29,105.29,105.29,105.29,105.29,105.30,105.29,105.29,105.30,105.26,105.26,105.25,105.26,105.26,105.26,105.26,105.35,105.38,105.34,105.33,105.33,105.33,105.29,105.29,105.23,105.23,105.20,105.20,105.19,105.20,105.21,105.17,105.17,105.21,105.21,105.21,105.05,105.08,105.08,105.03,105.07,105.63,105.63,105.63,105.59,105.55,105.55,105.82,105.79,105.82,105.82,105.82,105.87,105.87,105.88,105.88,105.88,105.88,105.88,97.77,105.87,105.87,105.87,105.88,105.88,105.89,105.89,105.89,105.91,105.91,105.90,105.90,105.91,105.91,105.91,105.91,105.82,105.85,105.85,105.83,105.83,105.79,105.79,105.79,105.78,105.78,105.80,105.80,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.86
1998Q2,87.44,87.44,87.44,87.46,87.50,87.51,87.32,87.49,87.50,87.50,87.50,87.50,87.50,87.50,87.46,87.47,87.47,87.46,87.46,87.46,87.45,87.37,87.37,87.36,97.49,97.49,97.55,97.51,97.57,97.57,97.57,97.57,97.56,97.56,97.56,97.56,97.55,105.02,105.02,105.02,105.02,105.02,105.03,105.03,105.02,105.02,105.02,105.02,105.01,105.00,105.00,105.00,104.98,104.98,104.99,104.99,105.00,105.00,105.00,105.08,105.12,105.07,105.08,105.07,105.08,105.04,105.04,105.00,104.99,104.97,104.97,104.97,104.96,104.96,104.93,104.92,104.95,104.95,104.93,104.80,104.85,104.85,104.79,104.83,105.34,105.33,105.34,105.28,105.25,105.25,105.43,105.40,105.42,105.42,105.42,105.47,105.47,105.47,105.46,105.47,105.47,105.47,97.40,105.47,105.46,105.45,105.46,105.46,105.42,105.42,105.44,105.45,105.45,105.44,105.44,105.43,105.42,105.42,105.42,105.44,105.42,105.42,105.48,105.48,105.50,105.50,105.50,105.50,105.48,105.50,105.50,105.57,105.57,105.58,105.58,105.58,105.54,105.54,105.55
1998Q1,86.87,86.87,86.87,86.89,86.77,86.76,86.57,86.74,86.75,86.75,86.75,86.75,86.74,86.74,86.71,86.73,86.73,86.74,86.74,86.74,86.76,86.69,86.69,86.67,96.72,96.72,96.80,96.76,96.81,96.81,96.81,96.81,96.80,96.81,96.81,96.82,96.82,104.23,104.23,104.23,104.23,104.23,104.24,104.24,104.24,104.24,104.24,104.24,104.23,104.22,104.22,104.23,104.20,104.20,104.20,104.19,104.20,104.20,104.20,104.29,104.30,104.28,104.27,104.27,104.27,104.30,104.30,104.52,104.53,104.50,104.50,104.50,104.49,104.48,104.45,104.45,104.51,104.51,104.48,104.35,104.40,104.40,104.33,104.37,104.79,104.77,104.77,104.71,104.69,104.69,104.88,104.85,104.87,104.86,104.86,104.91,104.91,104.90,104.90,104.91,104.91,104.91,96.88,104.91,104.92,104.93,104.92,104.92,104.91,104.91,104.88,104.87,104.87,104.86,104.86,104.86,104.85,104.86,104.86,104.90,104.89,104.89,104.87,104.87,104.85,104.85,104.85,104.86,104.84,104.85,104.85,104.89,104.89,104.89,104.89,104.89,104.92,104.91,104.92
