History for Series RTD.Q.S0.S.G_GFCF_TO_U.E (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
2001Q3,371843.4,371843.4,371849.28,371245.77,371224.53,371230.98,371155.45,371187.69,371145.24,371151.62,371173.94,371142.39,371000.81,370997.94,371078.36,371129.42,371103.85,371118.68,371143.77,370705.36,370630.85,369472.41,369757.54,369725.83,372177.13,372871.88,372123.69,371637.35,371693.91,371694.58,371672.68,371443.46,371054.29,371027.07,371056.29,370833.05,371236.73,370843.55,370852.75,370999.6,370969.27,370917.6,371009.62,371032.44,370872.16,369209.82,369194.8,369283.14,369213.33,368960.7,368944.28,368118.01,368082.56,368059.26,368124.03,367939.73,368022.77,368007.46,368134.78,366644.51,366629.23,366531.89,366504.79,366544.55,366442.66,366191.92,366050.24,366211.29,366879.07,366521.24,363888.17,363888.17,363600.7,363462.47,362875.31,363250.66,360972.17,360849.82,360660.28,360568.16,360789.86,361285.25,361497.72,361269.59,361135.91,361174.59,361220.06,360868.27,360552.31,359731.77,358770.84,358692.43,359435.33,359495.75,360018.54,358462.67,358920,358441,358683.3974,358630.3007,358611.4336,358483.13,359003.09,356798.38,356843.81,,,,,,,,,,
2001Q2,373257.11,373257.11,373260.08,372769.73,372782.59,372782.53,372715.61,372656.2,372623.73,372573.52,372596.18,372603.21,372476.99,372445.09,372405.68,372358.33,372353.95,372394.04,372400.67,372453.56,372169.79,370739.79,370970.96,370937.44,373244.24,374024.98,373257.01,372826.87,372822.91,372822.37,372803.06,372881.23,372305.59,372334.98,372325.02,372118.86,371987.19,371658.64,371630.92,371728.52,371723.24,371780.14,371832.05,371930.59,371813.26,370079.57,370059.81,370076.41,369966.07,369750.24,369783,368679.88,368736.83,368613.11,368708.84,368657.14,368725.25,369316.8,369399.04,368325.13,368356.45,368242.27,368220.87,368045.94,367985.54,368180.19,368121.25,367878.48,367592.85,367347.14,364439.6,364439.6,364516.95,364521.11,363725.5,363782.84,361573.62,361512.84,361441.62,361369.03,361446.24,361903.76,361689.24,361788.73,361597.07,361638.26,361917.47,361615.22,361511.43,360838.41,359400.35,359403.75,359555.6,359584.76,358878.3,358861.75,358603,359036.64,358532.6878,358186.4322,358217.5889,358059.84,358314.35,355398.58,355475.14,357305.29,358409.35,,,,,,,,
2001Q1,372635.24,372635.24,372620.21,372063.43,372088.63,372075.18,372248.89,372474.11,372353.55,372344.78,372358.82,372405.86,372282.48,372288.36,372093.33,372193.86,372239.67,372203.34,372205.34,372361.27,372438.43,371161.33,371555.18,371543.35,374024.18,374761.26,374080.09,373652.83,373626.43,373625.49,373592.8,373572.84,373090.76,373173.31,373137.8,372935.5,372422.51,372138.45,372130.26,371898,371855.54,371903.39,371895.19,371936.22,371908.27,370262.22,370254.53,370352.72,370301.19,369995.58,370010.25,369747.89,369927.47,369781.01,369743.06,369844.75,369928.41,370035.98,369971.76,368502.01,368448.47,368544.3,368586.96,368791.32,368788.65,369223.89,369311.78,368881.85,369133.7,367907.37,365426.67,365426.67,365339.22,365041.92,364694.67,364245.9,362675.34,362694.74,362563.38,362504.62,362523.51,362902.07,362588.38,362726.16,362550.57,362508.3,362734.06,362396.88,362158.26,362514.84,361589.09,361709.28,360672.45,360527.35,361221.25,359928.4,359367,360211.54,359473.1319,359409.5019,359232.7417,358543.17,358816.64,356521.31,356579.05,357122.12,358336.7,358615.29,356731.58,,,,,,
2000Q4,370218.29,370218.29,370225.51,369660.9,369622.94,369618.15,369603.13,369489.17,369575.62,369560,369583.97,369574.3,369467,369458.53,369448.84,369460.4,369382.44,369390.76,369419.32,369444.42,369375.33,367879.32,368880.55,368865.44,370882.58,371555.92,370899.95,370460.31,370452.8,370453.1,370445.61,370546.61,370034.71,370024.05,370010.11,369790.1,369801.81,369547.14,369523.23,369551.01,369600.74,369578.32,369832.76,370054.6,369432.83,367891.46,367997.67,367988.31,367903.25,367686.65,367710.81,366214.87,366236.86,366176.79,366144.38,366057.53,366115.56,366369.84,366462.64,365309.01,365434.36,365235.15,365756.86,365584.03,365582.06,365221.32,365087.9,365188.67,365681.94,366388.89,363046.02,363046.02,363180.11,363413.52,362671.94,362598.45,360044.8,360115.69,360038.28,360081.49,360340.56,360709.68,360757,360944.59,360987.27,360889.4,361138.27,360720.63,360579.5,360178.33,359935.08,360041.82,360537.26,360354.05,360830.52,360050.06,359934,360176.47,359889.5816,359954.8061,359768.5565,357601.92,357661.79,356635.75,356768.63,356572.68,356491.01,356563.38,356195.51,356627.439,357391.53,357406.4688,,,
2000Q3,367014.28,367014.28,367019.25,366500.42,366519.08,366519.4,366478.12,366661.17,366607.68,366640.15,366652.1,366618.61,366521.14,366511.75,366569.16,366640.63,366694.86,366694.93,366696.71,366435.39,366143.07,364940.85,365765.99,365747.6,367888.82,368515.17,367886.14,367492.5,367484.13,367484.47,367460.03,367285.74,366790.68,366666.43,366664.17,366389.53,366204.01,366018.35,366036.98,366122.59,366126.04,366194.87,366121.93,366034.57,366252.27,364735.48,364732.05,364787.8,364750.78,364498.32,364496.53,363562.76,363495.1,363465.26,363508.6,363431.61,363589.17,364059.75,364193.65,362676.45,362695.51,362667.33,362193.6,362073.68,362119.13,362000.07,362017.53,361761.51,362305.19,362163.7,360000.51,360000.51,360059.71,359738.77,359353,359288.72,357930.98,357900.15,357963.84,357780.32,357816,358183.43,358680.77,358343.56,358364.3,358368.54,358204.92,357551.29,357296.82,357252.06,357176.25,357313.27,357447.64,357515.21,357574.55,357167.33,357069,357051.88,356761.602,357252.4992,357423.4065,355149.19,355152.9,354303.61,354203.77,354965.33,355029.26,354493.01,353088.86,352979.2944,353129.46,353428.0313,353641.45,355690.43,
2000Q2,361424.36,361424.36,361428.13,360909.09,360905.49,360899.34,360878.09,360803.92,360720.47,360697.83,360715.68,360750.72,360667.91,360611.56,360675.13,360657.75,360657.76,360672.16,360684.42,360863.65,361205.22,359917.38,360400.88,360389.55,362684.85,363209.02,362672.18,362294.11,362336.44,362337,362311.47,362369.93,361861.89,361873.66,361883.5,361663.08,361451.43,361271.85,361261.75,361309.75,361297.53,361352.6,361283.29,361221.5,361340.2,360042.58,360047.66,360091.95,360057.27,359677.57,359684.22,358999.77,358824.46,358756.1,358826,358936.86,359096.69,358898.71,358792.4,357441.86,357469.83,357485.88,357320.18,357363.12,357426.17,357410.85,357352.14,356843.1,356794.88,356701.62,353837.92,353837.92,354058.01,353976.84,353428.68,353528.51,352998.34,352986.94,353193.89,353188.57,353101.85,353452.57,353237.51,353179.15,353220.65,353367.05,353309.35,352836.44,352788.77,352979.05,352685.7,352782.2,352773.76,352800.74,352579.12,352766.38,353048,352708.88,352479.0623,351374.2562,351433.7367,349682.84,349659.02,349665.78,349676.27,349893.54,349532.58,349025.6,348073.36,347840.2912,347793.61,347937.5,346640.8,347068.68,347389.47
2000Q1,357059.94,357059.94,357043.4,356575,356598.82,356606.24,356785.61,356791.31,356861.61,356818.96,356828.81,356869.37,356794.65,356835.56,356718.26,356646.72,356698.8,356686.16,356717.98,356479.97,356650.9,355894.56,356478.35,356467.59,358745.22,359276.48,358732.71,358361.34,358333.05,358332.85,358314.51,358296.56,357706.79,357743.36,357749.98,357514.87,357736.23,357562.13,357561.98,357317.35,357245.79,357107.31,356966.16,356893.04,357177.76,355846.55,355745.63,355924.62,355977.69,355510.46,355481.52,355521.75,355238.65,355175.98,355265.65,355315.51,355566.39,355161.37,354995.74,353588.96,353416.66,353712.3,353810.97,353961.32,354033.63,353296.65,353441.88,352782.83,352116.48,351625.56,348862.83,348862.83,348347.13,348223.1,347667.83,347685.38,347130.12,347102.94,347446.24,347591.86,347584.84,347886.46,347556.86,347764.8,347659.88,347607.15,347579.6,347098.78,347056.06,347469.18,346861.59,346857.64,346236.28,346173.69,345859.48,346025.99,346171,346072.19,346201.1441,346249.8295,346205.6913,344154.19,344114.43,343942.27,343941.77,344680.36,343848.7,343865.21,343472.98,343386.7454,343382.28,343805.375,341902.06,341974.36,342319.21
1999Q4,345503.52,345503.52,345506.17,345071.03,345374.36,345368.58,345267.34,345525.83,345553.05,345542.13,345559.41,345557.22,345473.61,345824.18,345680.05,345655.31,345683.23,345687.37,345677.78,345912.45,345270.17,344532.57,345061.77,345055.7,346850.62,347423.09,346860.53,346523.14,346480.66,346481.7,346479.46,346509.13,346042.48,345879.58,345868.79,345747.69,345794.62,345995.02,345990.32,345854.77,345845.93,345862.65,345915.64,346020.6,345841.25,344475.23,344503.92,344730.66,344759.1,344604.19,344623.45,343862.48,343608.32,343503.2,343490.11,343414.16,343551.57,344213.83,344257.81,342994.05,343069.73,342811.8,342891.39,342882.35,342856.7,342381.48,342540.92,342115.77,342170.19,341868.88,338478.39,338478.39,337920.27,338125.48,336830.12,336916.08,336643.35,336839.26,337519.85,337361.13,338546.25,338961.19,338185.42,338299.12,337912.37,337733.07,337806.28,337664.02,337563.34,337184.72,337268.3,337343.97,337835.61,337692.12,337908.28,337898.56,338193,337884.23,337719.4706,337483.1539,337444.169,335958.01,335986.45,335690.53,335671.63,336233.63,335939.55,335824.07,335206.26,335224.2388,335075.61,334968.875,332844.66,332850.07,333052.1
1999Q3,342677.01,342677.01,342679.09,342288.88,341921.97,341931.49,341998.31,342074.65,342073.09,342110.07,342120.02,342083.92,341992.34,341984.59,342039.34,342037.09,342013.84,342011.24,342031.36,341726.12,341264.1,341170.08,341478.41,341466.44,343281.92,343907.85,343342.81,343015.57,343079.74,343078.23,343054.55,342900.61,342470.13,342475.81,342475.23,342290.11,342073.92,341602.32,341636.69,341823.27,341844.49,341850.63,341776.62,341778.67,341916.91,340588.14,340607.21,340753.94,340688.06,340025.23,340019.45,339231.68,339146.16,339024.06,339051.73,339094.44,339197.41,339475.7,339422.38,338109.77,338101.75,338284.65,337204.11,337512,337515.08,337428.79,337426.81,336790,336859.33,337067.13,335608.71,335608.71,334011.59,333729.91,332923.86,333195.63,332803.95,332910.49,333905.8,334156.4,335272.48,335783.57,334509.49,334455.16,334431.2,334671.16,334585.91,334568.24,334464.58,334470.95,334713.16,334765.89,334426.09,334504.31,334506.7,334695.41,334628,334605.48,334483.6871,334496.9897,334680.7917,333325.82,333311.89,332754.32,332677.87,332285.31,332186.68,332362.89,331343.24,331491.3262,331456.7,331435.2813,330925.93,330805.41,330932.87
1999Q2,333873.04,333873.04,333873.18,333508.23,334276.79,334283.27,334387.53,334270.41,334283.5,334252.2,334266.05,334281.27,334216.6,334188.07,334129.65,334140.33,334168.15,334174.82,334188.35,334489.06,333639.98,333535.7,333802.2,333795.37,335503.01,336255.72,335511,335189.6,335157.54,335157.2,335143.27,335207.42,334812.54,334890.16,334889.35,334683.13,334886.78,334790.79,334787.27,334697.61,334681.9,334640.43,334629.61,334439.23,334643.11,333192.44,333193.28,333255.51,333233.52,332616.72,332614.57,332160.08,331769.61,331866.8,331891.8,331920.59,332140.81,331275.53,331320.84,329862.93,329949.88,329819.32,329754.93,329576.77,329576.1,329578.88,329558.31,328787.84,328894.39,328519.71,326540.74,326540.74,324822.84,324958.57,324016.34,323977.79,324297.93,324242.33,325325.86,325401.17,323158.13,323643.71,325704.93,325838.33,325732.86,325846.56,325827.43,325902.59,325917.65,325766.38,325687.76,325703.27,325374.48,325412.43,325323.19,325612.02,325567,325436.33,325193.7536,325402.3559,325319.1291,324855.95,324856.43,324584.68,324596.46,325265.23,325441.15,325367.04,324073.8,324080.344,324056.92,324048.0938,322969.93,322912.64,322920.02
1999Q1,328707.17,328707.17,328704.64,328317.11,327606.38,327598.48,327779.93,327562.34,327588.41,327539.69,327563.12,327602.12,327462.21,327109.93,327257.67,327272.45,327246.56,327257,327233.01,327174.61,326256.14,326269,326442.6,326439.69,328355.34,329032.55,328270.04,327937.42,327947.97,327948.78,327919.56,327904.28,327529.49,327560.98,327573.39,327367.31,327618.87,327626.06,327620.89,327486.6,327504.53,327550.14,327581.98,327665.2,327497.94,325982.13,325927.5,326028.49,326036.76,325323.04,325317.34,325499.05,325326.11,325244.95,325197.34,325210.69,325307.58,325469.08,325486.35,324215.82,324063.55,324183.49,325260.27,325128.69,325104.81,325204.27,325206.82,324313.06,324100.05,324580.56,320700.46,320700.46,320309.61,320054.81,319432.09,319111.91,319757.74,319512.41,320465.02,320297.82,320239.66,320696.38,320685.01,320492.19,321008.37,320834.06,320865.25,320950.02,320930.3,320182.08,319684.9,319643.01,319819.94,319819.53,319690.22,319751.77,319637,319582.37,319728.7887,319643.1985,319581.6092,319819.21,319804.21,319370.76,319419.98,319843.4,319587.97,319296.23,318696.76,318524.151,318730.84,318652.4375,317756.96,317929.37,318006.4
1998Q4,321611.66,321611.66,321610.74,321278.1,322631.05,322629.69,322723.24,322773.08,322780.47,322781.43,322791.09,322778.79,322628,322697.48,322725.44,322728.69,322743.91,322746.45,322718.78,322627,322165.6,321704.96,321806.62,321801.8,323646.25,324344.8,323478.24,323109.18,323069.77,323069.97,323052.89,323109.52,322644.15,322663.27,322652,322470.42,322426.77,322232.22,322188.2,322023.6,322022.01,322073.6,322055.4,322054.47,322095.67,320363.34,320411.51,320373.15,320391.58,319752.83,319748.95,319135.1,318959.31,318913.78,318935.8,319010.29,319263.02,318449.45,318423.91,317205.02,317215.37,317112.62,316917.1,316988.86,316941.26,316804.81,316927.85,316277.06,316163.87,316374.73,313948.45,313948.45,312185.32,311968.02,311069.6,311088.99,311526.49,311732.4,312350.59,312439.13,312704.99,313121.91,313081.64,313196.5,313130.74,313071.67,313108.31,313086.44,313071.57,313511.61,313533.61,313620.45,313476.7,313620.92,313568.78,313413.17,313489,313576.23,313339.932,312752.0383,312466.6303,312185.35,312209.13,312340.92,312348.04,312406.76,312376.94,312307.33,312695.72,312625.0811,312667.42,312374.1563,311233.39,311028.99,310951.49
1998Q3,318772.72,318772.72,318772.51,318403.36,318147.18,318152.69,318219.19,318249.62,318209.36,318236.54,318249.58,318192.89,318024.53,317959.93,318105.65,318105.86,318097.54,318093.06,318093.02,318031.16,317436.72,317301.48,317326.42,317320.12,319232.54,319779.74,319249.66,318877.52,318908.42,318908.01,318888.72,318762.94,318435.96,318405.3,318404.88,318257.78,318494.24,318171.51,318168.38,318290.91,318289.89,318343.67,318226.76,318118.69,318434.63,316642.71,316653.18,316659.42,316631.3,315669.45,315655.74,315497.51,315375.22,315313.65,315195.26,315072.5,315133.77,314813.17,314938.07,313742.76,313781.79,313713.6,313669.7,313910.11,313889.03,313771.23,313747.95,313066.28,313243.61,313176.87,309916.37,309916.37,310061.29,309571.2,309276.96,309189.83,309455.16,309010.52,309706.26,309547.02,309328.02,309798.35,309890.7,309872.78,310024.33,310067.51,310032.57,310092.86,309958.68,309704.27,309833.43,309915.45,309161.86,309107.67,309038.89,308781.56,308804,308704.08,308633.1678,308775.2998,308943.7148,308786.16,308780.84,308728.41,308691.66,309077.86,309205.29,309192.52,309126.63,309014.2947,308973.98,308780.875,308098.77,307858.95,307977.17
1998Q2,310960.76,310960.76,310961.05,310571.73,310796.54,310795.66,310730.27,310678.06,310676.17,310640.43,310661.26,310691.47,310530.67,310537.92,310443.4,310441.59,310485.4,310493.57,310460.97,310793.14,310256.5,310098.27,310165.52,310162,312102.33,312599.81,312156.37,311760.54,311729.03,311729.91,311711.78,311715.24,311375.03,311368.45,311369.69,311265.6,311205.76,310901.94,310836.19,310791.73,310802.25,310758.42,310762.9,310753.74,310732.04,308891.16,308890.18,308930.74,308887.79,308496.34,308489.99,307783.84,307579.03,307527.06,307645.03,307714.51,307728.46,307743.96,307703.37,306554.76,306695.18,306682.62,306665.42,306708.75,306723.58,306652.08,306544.73,305858.05,306021.91,305988.16,303060.1,303060.1,302356.12,302452.01,301664.14,301655.13,301918.31,301871.81,302400.36,302225.11,302143.28,302629.17,302711.32,302590.12,302391.09,302413.72,302399.6,302414.65,302512.14,302496.38,302403.72,302463.2,302740.6,302734.39,302741.76,302535.83,302441,302527.78,302292.3671,302543.4865,302695.5874,303058.16,303054.63,303346.93,303333.72,303600.23,303427.6,303328.81,302858.6,302781.8899,302687.99,302582.0313,301616.32,301583.85,301536.1
1998Q1,309586.1,309586.1,309584.83,309182.66,307863.07,307858.71,307920.42,307892.78,307894.85,307848.07,307873.51,307881.94,307752.77,307707.77,307643.56,307639.04,307667.96,307673.49,307728.11,307749.8,307196.6,306935.12,306911.8,306903.76,308887.23,309370.99,308980.4,308597.57,308636.76,308636.1,308642.67,308589.82,308237.11,308250.8,308262.44,308139.98,307999.75,307815.5,307787.79,307730.9,307730.87,307703.15,307833.81,307950.61,307606.89,305845.83,305783.14,305850.48,305842.77,305130.77,305156.15,304643.98,304572.22,304500.49,304519.94,304464.42,304532.03,305835.28,305848.76,304872.14,304683.59,304817.38,305073.59,304941.42,304949.39,305252.96,305245.25,304468.63,304265.83,304157.98,300581.25,300581.25,300194.78,300653.87,299557.36,299644.83,299739.07,300025.91,300268.32,300514.27,300549.24,301003.19,300894.07,300893.3,301006.53,300999.79,301011.71,300958.24,301009.8,300731.06,300672.56,300665.85,301285.79,301201.7,301315.25,300814.78,300809,300588,300707.532,300832.6284,300797.5206,300939.77,300924.83,300984.24,300992.98,301237.43,300897.13,300673.5,300659.29,300918.9643,301010.85,301045.4375,300321.1,300797.79,300824.86
1997Q4,304323.67,304323.67,304324.38,304100.75,304837.01,304837.84,304781.63,304767.58,304865.88,304853.09,304873.1,304857.37,304768.17,304952.07,304734.81,304731.67,304726.36,304726.81,304675.63,305269.05,304678.81,304665.02,304522.06,304511.7,306552.22,307003.77,306597.03,306246.75,306207.04,306204.73,306211.35,306219.38,305838.12,305881.58,305877.8,305779.94,305667.01,305313.45,305274.41,305280.21,305270.11,305336.3,305342.14,305407.37,305403.2,303770.99,303801.36,303761.09,303781.08,302781.29,302789.44,301774.89,301700.16,301593.15,301554.4,301435.4,301480.79,301611.27,301889.22,300609.74,300585.17,300437.74,300698.23,300859.28,300824.43,301273.13,301598.88,301234.8,301095.86,301263.15,298637.15,298637.15,297363.69,297418.25,296570.28,296682.73,297333.93,297198.85,296828.62,297030.11,297046.24,297448.23,297594.98,297641.46,297563.22,297510.09,297502.52,297434.78,297492.45,297583.52,297581.69,297694.02,297586.82,297355.18,297399.36,296972.47,297111,297148.9,297023.3208,297086.2434,297017.505,296963.59,296977.82,297058.97,297054.8,297053.95,296996.02,296813.39,297008.38,297178.3992,297155.31,297645.4375,296111.73,296047.91,296026.44
1997Q3,298402.21,298402.21,298405.44,298142.95,298150.78,298160.87,298141.74,298195.62,298196.61,298212.48,298232.21,298196.19,298130.5,298112.56,298250.81,298250.57,298226.13,298235.75,298169.59,298404.35,297821.94,297385.08,297311.28,297305.77,299317.53,299714.63,299254.92,298933.29,298925.63,298925.48,298897.19,298872.99,298531.91,298541.08,298553.99,298471.21,298857.14,298512.23,298498.07,298363.84,298350.35,298282.43,298240.16,298187.31,298301.56,296729.98,296746.75,296772.4,296789.67,295992.79,295981.51,295646.82,295488.82,295462.69,295509.8,295435.93,295511.48,295426.81,295482.83,294919.71,294974.23,294949.54,294103.63,293754.73,293736.23,293558.48,293544.32,292939.69,293164.01,292702.52,290654.45,290654.45,289844.12,289659.45,289476.99,289430.05,289922.47,290113.85,289859.08,289831.95,289873.4,290315.31,290294.2,290286.85,290406.68,290392.01,290396.15,290455.26,290513.77,290456.48,290460.56,290546.93,290182.37,290236.2,290110.04,290018.95,289863,289807.79,289826.8454,289717.6956,289770.3749,289792.78,289784.55,289617.5,289613.03,289945.8,289882.2,289851.72,289970.86,289927.062,289911.21,290518.4375,289839.85,289912.2,289930.71
1997Q2,297002.86,297002.86,297001.28,296728.98,297187.61,297190.62,297189.94,297262.85,297259.93,297247.79,297260.89,297276.42,297210.4,297237.45,297250.95,297252.65,297287.94,297296.77,297361.14,297238.18,296507.54,296421.45,296209.36,296200.04,297843.56,298259.59,297775.8,297479.86,297525.68,297524.92,297490.61,297452.23,297024.14,296976.26,296978.47,296859.38,296890.92,296675.15,296661.5,296445.28,296430.23,296450.6,296389.51,296335.53,296498.69,294895.44,294885.81,294956.03,294995.05,293918.79,293905.85,293657.98,293469.69,293417.68,293365.6,293494.47,293536.91,293505.17,293362.22,292209.1,292342.13,292521.9,292260.69,292470.3,292464.41,292398.05,292304.66,291734.01,291759.26,291636.61,288579.21,288579.21,288398.78,288474.97,288082.02,288017.63,288404.2,288493.83,288182.43,287918.38,287849.72,288282.46,288248.32,288219.73,288380.9,288415.5,288387.96,288436.58,288328.18,288198.27,288095.43,288151.34,288190.75,288232.02,288289.85,288107.65,288099,287992.87,288048.9612,288102.399,288015.7244,288146.33,288155.7,288130.34,288121.97,288593.93,288916.93,288842.96,288785.38,288782.9466,288769.38,289338.9688,289112.45,288880.9,288853.04
1997Q1,292345.52,292345.52,292344.67,292166.25,290958.52,290947.02,290993.71,290880.36,290851.51,290814.66,290813.08,290828.7,290797.32,290564.98,290444.95,290444.19,290439.3,290444.06,290491.61,290026.02,289397.05,289163.22,289139.63,289135.02,290822.05,291252.44,290910.77,290623.44,290621.12,290624.34,290640.76,290622.1,290506.61,290498.05,290486.9,290345.23,290283.52,290098.68,290056.9,290266.54,290294.63,290290.69,290388.26,290430.58,290147.96,288565.05,288509.39,288505.8,288401.53,287608.45,287628.36,286877.13,286701.01,286647.28,286715.36,286806.37,286906.78,287339.27,287168.3,286462.13,286299.17,286365.76,287218.12,286997.59,287001.65,288889.29,288626.58,288010.57,287652.23,288065.89,284767.02,284767.02,284465.34,284420.82,283931.68,283944.03,284440.15,284291.15,284000.93,284090.63,284101.71,284483.81,284408.23,284381.65,284178.9,284212.11,284242.63,284202.65,284194.86,284203.19,284303.78,284279.69,284712.03,284848.84,284872.98,284599.49,284623,284472.81,284545.7725,284538.5631,284641.2957,284672.26,284656.89,284767.83,284779.38,285240.55,285024.69,284947.03,284681.86,284558.0723,284610.58,284988.0625,284334.41,284557.44,284588.26
1996Q4,295243.52,295243.52,295246.48,295061.32,295604.89,295613.44,295567.46,295533.09,295521.07,295540.21,295523.49,295488.49,295431,295509.06,295424.11,295419.9,295404.39,295402.17,295366.3,295019.12,294417.92,294421.43,293962.98,293956.87,295826.1,296305.17,295807.18,295552.27,295550.03,295549.8,295510.38,295433.13,295122.69,295214.87,295211.47,294944.45,295257.41,294773.07,294717.5,294786.96,294778.47,294851.16,294879.3,294942.85,294849.68,293299.07,293354.81,293343.01,293295.2,292081.74,292088.45,292690.3,292572.22,292492.15,292501.6,292659.1,292716.77,293535.23,293710.12,292448.74,292331.84,292534.35,292340.11,292438.38,292399.97,292542.36,292563.89,292160.48,291996.25,291642.19,288717.64,288717.64,288302.78,288232.05,287684.88,287721.7,288749.79,288952.28,288510.95,288539.24,288576.4,288856.3,288987.56,288995.09,289316.67,289252.38,289253.78,289189.68,289139.39,288738.67,288457.38,288632.82,288767.12,288693.11,288646.01,288277.89,288086,288092.27,288035.2824,288085.6455,287861.0176,287886.93,287889.22,288059,288058.93,288577.42,288553.94,288509.88,288538.65,288605.3847,288732.13,288929.6875,287966.61,288029.33,288018.7
1996Q3,295642.02,295642.02,295642.22,295455.86,295124.87,295127,295189.94,295268.14,295266.4,295327.87,295300.07,295259.14,295188.62,295110.22,295536.9,295536.21,295567.58,295560.21,295564.23,295630.47,295368.68,294658.28,294513.23,294506.19,296633,297030.8,296619.3,296369.59,296346.78,296345.8,296329.89,296354.68,296080.81,296033.7,296033.56,295769.26,295877.07,295600.65,295575.35,295511.75,295503.72,295555.81,295486.68,295446.99,295643.31,294282.84,294303.01,294368.93,294387.1,293535.39,293528.25,293070.23,292991.35,292992.49,292988.33,292999.64,293049.43,292852.26,292825.57,291751.69,291871.37,291956.89,291296.05,291315.12,291299.51,291076.16,291104.69,290777.46,290648.7,290784.3,288743.57,288743.57,288343.17,288209.31,288032.65,287967.21,288999.44,289023.45,289027.27,289196.6,289167.49,289463.21,289592.96,289590.57,289787.92,289787.28,289754.07,289723.01,289720.1,289470.3,289638.98,289767.93,289694.78,289712.22,289583.73,289448.12,289461,289361.92,289256.1775,289149.6923,289191.606,289221.16,289223.61,289262.29,289255.5,289261.72,289363.8,289361.43,289380.85,289410.4854,289290.55,289322,289260.47,289313.45,289333
1996Q2,293568.24,293568.24,293567.6,293368.56,293477.8,293464.67,293489.42,293476.69,293508.78,293519.79,293486.64,293500.45,293419.84,293456.68,293444.56,293447,293455.88,293465.28,293465.8,293527.83,292997.8,292843.45,292900.37,292890.82,294858.66,295187.89,294871.24,294605.31,294663.28,294662.04,294643.3,294601.64,294268.52,294198.55,294175.54,293949.28,293916.25,293429.77,293392.08,293355.8,293353.81,293395.5,293339.14,293274.45,293420.86,292232.68,292214.03,292247.06,292288.89,291656.54,291644.22,291394.22,291355.47,291277.2,291287.32,291095.22,291108.64,291284.5,291359.76,290656.35,290784.98,290707.55,290980.18,291094.15,291096.08,291011.59,290985.65,290472.5,290084.23,290254.26,287608.79,287608.79,287403.06,287378.98,287081.77,287051.39,287863.93,287770.87,287790.17,287811.68,287764.24,288092.42,287982.21,287870.1,287909.04,287942.73,287897.55,287943.41,288022.19,287576.79,287576.41,287657.53,287536.14,287741.17,287779.58,287601.84,287545,287572.64,287696.9454,287798.3338,287966.5719,288051.17,288036.51,288076.01,288060.33,287880.89,287712.34,287675.87,287407.25,287478.5809,287497.31,287431.4375,287123.98,287222.15,287205.41
1996Q1,283484.14,283484.14,283481.78,283314.6,282997.91,282997.23,283069.79,283038.51,283071.17,283070.61,283039.85,283077.32,282979.19,282994.34,282400.89,282393.44,282416.62,282421.61,282458.29,282607.96,281705.7,281696.11,281965.95,281962.41,283805.41,284143.58,283826.09,283613.41,283578.61,283581.07,283604.98,283612.34,283394.12,283400.77,283427.51,283243.67,282699.86,282523.42,282453.77,282568.3,282536.06,282448.19,282545.53,282586.14,282320.22,281130.92,281073.47,281039.23,281027.29,280526.64,280533.64,278570.6,278387.32,278397.62,278373.29,278388.77,278404.61,277823.46,277634.84,276969.36,276836.68,276614.24,277197.85,277007.65,277007.71,277264.2,277234.16,276880.23,277441.67,277480.47,275244.81,275244.81,274454.27,274586.38,273929.95,273944.38,274980.11,274843.91,274868.03,274648.91,274688.31,275014,274860.41,274969.95,274412.07,274443.28,274520.14,274569.44,274543.85,275639.79,275752.76,275709.01,275769.24,275616.98,275754.16,275710.29,275944,275797.9,275829.6167,275784.3494,275798.8255,275799.05,275808.98,275561.39,275541.1,275195.83,275283.81,275230.46,275439.78,275272.079,275246.54,275083.4375,275878.77,275664.9,275672.71
